질문,답변
(농지은행) 농지은행을 통해 농지매입 시 자부담은 후계농 정책자금으로 납부할 수 있나요?,불가능합니다. 농업정책사업(지방자치단체사업 포함)으로 지원하는 융자 사업(융자+보조 포함)의 자부담분은 후계농 육성자금으로 사용이 불가능합니다.
(청년농업인 영농정착지원) 청년농업인들을 위한 유통판로 지원은 어떤것들이 있나요?,"청년농업인이 안정적인 영농정착을 할 수 있도록 네이버쇼핑, 현대그린푸드 등과 협업하여 유통,판로 개척을 지원해 드리고 있습니다."
농신보에서 개인신용도는 어떤 기준으로 판단하는지?,"내부 고객정보와 대외 신용정보를 활용함

-농신보 신용평가는 내부 고객정보와 외부 신용정보회사의 평가결과를 이용하여 점수를 산출하고 있음

-내부 고객정보는 경력, 농신보 거래내역 등을 종합하여 평가하며, 외부 정보는 복수의 신용정보회사 정보(대출, 카드실적, 연체이력 등)을 이용하여 평가함

출처: 농림수산업자신용보증기금 '알기 쉬운 청년 농신보'"
직업 상 현장교육을 받기 어렵습니다. 귀농에 대해 공부를 하고 싶은데 다른 방법은 없나요?,"귀농교육은 온라인교육과 오프라인교육이 있습니다.
온라인교육은 시간과 장소의 제한 없이 귀농희망자들이 편리하게 강의를 수강할 수 있는 장점이 있습니다. 온라인교육은 농업교육포털（www.agriedu.net）과 농촌진흥청 농촌인적자원개 발센터（http://hrd.rda.go.kr）에서 수강하실 수 있습니다.
귀농 농업창업 및 주택구입지원사업 신청대상자 조건 중 하나인 귀농영농교육 100시간 이상 이수 관련하여, 온라인교육은 수료시간의 50% 범위 내에서 최대 40시간까지만 인정됩니다.

출처 : 귀농귀촌 종합상담 매뉴얼"
농업 관련 창업교육을 받을 수 있는 기관이 있나요?,"창업사업계획서는 창업자가 자기 사업의 성공확신을 위해 제시하는 로드맵입니다. ‘사업계획’은 유망한 사업아이템(아이디어, 기술, 제품, 체험, 서비스 등)을 실행 가능한 구체적인 계획으로 발전시킨 것이며, ‘사업계획서’란 사업에 대한 밑그림으로 사업전반에 대한 내용을 문서화한 것입니다. 즉, 창업아이템 및 사업 목적 달성을 위해 자원 활용 방법, 경영전략 등 사업과 관련된 제반사항을 체계적이고 실현가능하게 작성한 것입니다.

농업실용화재단(http://bi.fact.or.kr/front/index.do)은 농업분야의 창업교육은 물론 창업상담, 창업보육, 창업정보 제공을 하는 전문기관입니다. 농업분야 전문창업교육을 받기를 원하시는 분들은 농업실용화재단을 활용하시기 바랍니다.

전국의 창업기관에서도 창업교육을 하고는 있지만 농업분야에 대해서는 거의 교육이 이루어지고 있지 않는 것으로 알고 있습니다. 농림수산식품부에서는 “농업전문창업보육센터”를 한시적으로 지원한 적이 있었습니다. 이때에는 농업관련 창업교육이 이루어졌습니다만 “농업전문창업보육센터”가 각 대학의 창업보육센터와 합쳐진 이후에 농업관련 창업교육은 이루어지고 있지 않습니다.

창업기관에서는 기관마다 다르기는 하지만 다음과 같은 창업교육을 하고 있습니다. 창업을 하는데 있어서 많은 도움이 되니까 꼭 창업 전 교육을 받으시기 바랍니다. 그리고 무엇보다도 창업기관에서 하는 창업교육을 받게 되면 중소기업청에서 매년 시행하는 예비창업자육성사업(사업비 5천만원~1억원 지원)에 응모시 가산점이 있습니다. 예비창업자육성사업의 경쟁율이 매우 높으므로 창업교육 가산점은 아주 큰 도움이 될 것입니다.

○ 창업교육 내용
- 예비기업 성공창업 전략
- 창업과 벤처경영 전략
- 특허 전략
- 기술창업
- 지적재산권
- 성공적인 사업발표 (프레젠테이션 스킬)
- 사업 인맥
- 중소기업 지원 사업
- 사업타당성 분석
- 시장조사 방법

참고 링크 :  https://www.xn--6-ql4f73k2zh.com:448/home/main.cs

출처 : 똑똑!청년농부"
귀농귀촌교육은 어디에서 받을 수 있나요?,"귀농교육은 온/오프라인으로 수강이 가능합니다. 온라인교육은 농업교육포털 ( http://www.agriedu.net/ )으로 직접 접속하시거나, 그린대로 홈페이지 '교육정보' > '온라인교육'을 클릭하시고 회원가입 후 이용이 가능합니다. 오프라인교육은 농림축산식품부, 농촌진흥청, 산림청 및 지자체가 주관 또는 위탁하는 귀농·영농 교육과정을 주최하거나, 위탁하여 운영합니다..

그린대로에서 운영하는 교육정보는 홈페이지 > '교육정보'  > '오프라인교육 ' 및 '알림소식' > '공지사항'을 통해 민간기관공모교육의 세부교육정보를 확인할 수 있습니다.

교육을 운영하는 기관 및 과정에 따라서 교육대상자/교육내용/교육장보/교육비 등이 상이합니다. 따라서 해당 교육운영기관으로 문의하시면 정확한 상담이 가능합니다.

참고 링크 :  https://www.greendaero.go.kr/

출처 : 똑똑!청년농부"
농업 관련 온/오프라인 교육은 어디서 찾아볼 수 있나요?,"농업교육포털에서 관련 온/오프라인 교육을 확인하실 수 있습니다. 

콜센터 : 1811-8656

홈페이지 : https://agriedu.net/"
스마트팜 관련 표준 정보는 어디서 확인할 수 있나요?,"스마트팜 표준 정보는 한국농업기술진흥원 사이트에서 확인하실 수 있습니다. 

한국농업기술진흥원 사이트 접속(koat.or.kr) > 농산업정보 > 스마트팜 표준 정보

링크: https://www.koat.or.kr/board/standard_doc/list.do
"
"스마트팜 현장지원센터는 무엇이며, 권역별 스마트팜 현장지원센터는 어디에 위치해 있나요?","스마트팜 현장지원센터는 스마트팜 시설 설치 농가의 활용도 제고를 위해 시군 농업기술센터, 도 농업기술원 내 운영되는 기관입니다. 

* 업무: 농가의 문의사항 해결을 위한 콜센터, 스마트팜 관련 교육, 시설활용 및 재배 컨설팅, 시설점검 및 사후관리(A/S)

현재 세종, 경기, 강원, 충북, 충남, 경북, 경남, 전북, 전남까지 총 8개소로 운영 중 입니다. 

스마트팜코리아 홈페이지(smartfarmkorea.net)에서 [지원사업 안내] - [현장지원센터]로 들어가시면 권역별 스마트팜 현장지원센터 위치와 담당자(연락처 포함)를 확인하실 수 있습니다. "
농산물 유통 관련 교육은 어떻게 확인할 수 있나요?,"현재, aT농수산식품유통교육원에서는 유통?식품?수출?수산의 다양한 분야 전문인력 양성을 위한 실무역량 강화교육을 제공하고 있습니다. 

홈페이지(edu.at.or.kr)에서 교육일정 확인 및 교육신청 등이 가능하며 ‘교육안내→자주하는 질문’ 페이지에서도 도움을 받으실 수 있습니다.

자세한 내용은 각 교육별 담당자에게 문의주시기 바랍니다. "
스마트팜과 관련한 교육을 받고 싶습니다. 교육일정은 어디에서 확인할 수 있나요?,"스마트팜코리아 홈페이지(www.smartfarmkorea.net) 메인화면 상단의 [스마트 팜 교육 > 교육과정 조회 및 신청]에서 확인하실 수 있습니다.

또한, 지자체 문의 및 농업교육포털(www.agriedu.net) 참조 부탁드립니다."
스마트팜을 도입하고 싶은데 도입에 참고할 만한 우수농가를 알 수 있을까요?,"스마트팜 컨설턴트, 지자체 담당자로부터 우수 농가를 추천받아 선별하여 '우수농가 사례집'을 제작하였습니다. 

*우수농가 사례집은 [스마트팜코리아 사이트 열람>스마트팜이란>우수사례]에서 확인하실 수 있습니다."
(재해보험) 재해보험은 어디에서 가입해야 하나요?,"①농작물재해보험: 농협손해보험(지역농협)
https://www.apfs.kr/front/contents/sub.do?contId=55&menuId=5325

②가축재해보험: 농협손해보험(지역농축협), KB손해보험, 한화손해보험, DB손해보험, 현대해상, 삼성화재

- 지원내용: 보험료의 일부(20~40%) 수준을 지자체에서 지원

- 사업대상자: 사업실시지역에서 보험대상 목적물을 재배(사육)하는 개인 또는 법인

- 구비서류: 청약서, 보험목적물 증빙자료, 농업경영체 등록(농업인 확인서) 등

https://www.apfs.kr/front/contents/sub.do?contId=91&menuId=5325"
(재해보험/자조금) 재해보험 및 자조금은 꼭 가입해야 하나요?,"재해보험 및 자조금은 경영안정시책으로 의무적으로 가입해야 합니다.

① 재해보험

- 사업대상자는 주 생산품목의 보험상품이 개발되어 있는 경우 해당 품목의 가입기간 내에 의무적으로 가입해야 합니다. (기한 차기연도 3월)

* 단, 해당 재해보험 상품에서 정하는 면적 및 사육두수 등 영농 규모 하한 이상인 경우에만 적용

* 소는 1년 이내 출하 예정인 경우, 소 이력제 현황의 70% 이상 가입 시 포괄가입으로 간주

* 재해보험 개발시기가 3월 이후라면, 그 사실을 입증하는 서류를 제출한 뒤 개발시기까지 가입 의무 유예 가능(지자체 협의 필요)

* 자세한 사항은 농업정책보험금융원 안내자료를 참고하시기 바랍니다.

https://www.apfs.kr/front/contents/sub.do?contId=55&menuId=5325

② 자조금

- 본인의 주품목 기준으로 농림축산식품부에서 지원하는 의무 자조금 품목에 대해 영농정착지원금 수령기간의 80% 이상 가입 상태 유지해야 합니다. (임의 자조금 품목은 가입의무 없음)

* 단, 해당 자조금 품목에서 면적 및 사육두수 등 영농 규모 하한을 정한 경우에는 그 이상의 영농규모인 경우에만 적용"
"(농업경영장부)농업경영장부 사용 중에 오류 발생 시 어디에 문의해야
합니까?",농업경영장부 오아시스 콜센터 1661-5159에 문의하시길 바랍니다
"(농업경영장부)다른 프로그램을 사용하고 있는데 꼭 농업ON을 써야
하나요?","농업ON의 농업경영장부만 AgriX 시스템에 연계되어 있기 때문에, 타 경영프로그램을 사용할 경우 지자체 담당자가 이행점검을 할 수가 없습니다."
(농업경영장부) 농한기에 농업경영장부를 어떻게 작성해야 하나요?,"농한기에도 농업경영장부를 작성해야 하며, 기자재 구입·저장, 농업교육 수강 등의 영농 준비활동으로 내용을 작성하시면 됩니다"
"(농업경영장부) 농업경영장부, 영농일지, 회계장부는 모두 같나요?","농업경영장부는 크게 영농일지와 회계장부 2개로 구성되어 있습니다. 입출금장부는 회계장부의 간소화 버전으로, 영농일지와 회계장부를 작성해야 합니다."
"(농업경영장부) 농업경영장부 언제, 어디서 작성해야하나요?","농업경영장부는 ①바우처를 지급받는 달부터, ②농업ON(www.agrion.kr)에서, ③영농일지와 회계장부 모두 작성하셔야 합니다.

* 경로: 농업ON → 영농지원ON → 농업경영장부 서비스

* 사용자 매뉴얼은 마이영농 → 이용안내 → 사용 매뉴얼에서 다운 받으실 수 있습니다."
(융자금) 후계농 정책자금 받을 수 있을 때까지 심의 기간은 얼마나 걸리나요?,"신청하신 대출시행기관에 따라 다릅니다.

- 농신보: 서류가 완벽하게 갖추어진 시점부터 보증서 발급까지 7~10일이 소요됩니다.(신용 검증 등의 문제로 지연될 수 있습니다.)

- 지역농협: 농신보의 보증서, 농협에서 요구하는 각종 서류의 구비 완료 시점에 따라 다릅니다."
(융자금)정책자금으로 배우자 명의의 사업장 구입이 가능한가요?,"아닙니다. 정책자금은 반드시 본인 명의로 사업을 진행해야 합니다. 농지구입, 시설물 신축 등에 따른 소유권도 본인 명의로 등기해야 하며, 공동지분, 공동명의 등기도 불가합니다."
(융자금)후계농 정책자금은 담보제공 없이도 대출 가능한가요?,"후계농 정책자금도 금융권 대출과 동일합니다. 만일 담보가 없는 경우 농신보에서 신용보증을 하지만, 개인 신용도 또는 담보 제공 여부에 따라 최대 대출한도(5억원)는 조정될 수 있습니다.

「후계농업경영인 선발 및 지원사업 시행지침」에서 정하지 않은 사항은 일반 여신업무규정을 준용하고 있으므로, 예금·부동산·보증서 등 적격담보의 대출 가능 금액 및 신용대출한도 이내로 대출이 가능합니다. 

* 이미 실행한 일반 대출을 농신보 보증 대출로 변경하는 것은 불가능"
(융자금)배정받은 지원한도 전액 대출이 가능한가요?,"대출시점에 신청인의 신용 및 담보력이 부족한 경우에는 배정받은 지원 한도보다 실제 대출 가능금액이 적거나 없을 수 있습니다. 또한 ""귀농창업자금 및 주택구입자금"" 정책자금을 실행하신 분들은 최대 5억원에서 기 실행한 금액을 제외한 금액을 지원받으실 수 있습니다.

* 신청 가능 금액 = 5억원(지원한도액) - 기 대출받은 후계농, 귀농정책자금의 대출금액(농업창업분야) 등"
"(융자금)사업장 또는 주소지 관할 외 농협에서도 후계농 정책자금 신청
가능한가요?","가능합니다. ‘사업추진(계획/실적) 확인서’에 대출받고자 하는 대출 취급기관을 명시하시면 됩니다. (명시된 대출 취급기관에서만 대출이 가능)

* 사업완료 전 대출 : 사업추진계획 확인서를 발급

* 사업완료 후 대출(기성률 대출 포함) : 사업추진실적 확인서를 발급"
(융자금)후계농 정책자금의 금액과 상환기한은 어떻게 되나요?,"후계농 정책자금은 세대당 최대 5억원을 받을 수 있으며, 상환 조건은 5년 거치 20년 원금 균등분할 상환입니다. 만일 후계농업인으로 선정된 후 청년농업인으로 선정될 경우 기존에 사용한 금액을 제외한 잔여액에 대하여 대출 가능합니다.

* 단, 개인별 금융 상황에 따라 융자 가능 금액은 다를 수 있습니다.

* ’24년 이전에 선정된 경우에도 ’24년 이후 실행되는 대출에 대해서 동일한 상환기간(5년 거치 20년 분할상환)이 적용됩니다."
(융자금)후계농 정책자금의 신청 및 실행 시기는 언제인가요?,"청년농업인 및 후계농업인은 선정 후 5년까지 정책자금 신청 및 사용이 가능합니다.

<대출 가능 기간>

’20년 선정자 ‘24.12.31까지

’21년 선정자 ‘25.12.31까지

’22년 선정자 ‘26.12.31까지

’23년 선정자 ‘27.12.31까지

’24년 선정자 ‘28.12.31까지

- 단, 당해연도까지 후계농업경영인 경영교육을 반드시 수료하셔야 대출 신청이 가능합니다. 

- 스마트팜보육센터 수료생 → 보육센터 수료증으로 대체 가능 

- 청년농업인 선정자 → 청년농업인 선정자 대상 온라인 설명회 수료증으로 대체 가능

자세한 교육 과정 및 신청방법은 청년농업인 카페(cafe.naver.com/koreayoungfarmer)의 농업교육정보 알리미를 참고 바랍니다."
(농지은행)농지은행의 임대수탁사업 임차료와 수수료는 얼마인가요?,"임차료는 해당 지역 임차료 수준을 협의하여 결정하고, 매년 약정된 임차료에서 수수료 5%를 공제하고 지급됩니다."
(농지은행)비축농지 농업용 시설물 설치 범위는 어떻게 되나요?,"철거가 쉬운 농업용 간이시설, 농업용 비닐온실(파이프조 단동·연동형)만 지사 승인 후 설치가 가능합니다."
(농지은행)청년농업인은 농지 취득세 감면을 받을 수 있나요?,"「지방세특례제한법」 제6조에 따라, 후계농업경영인 및 청년농업인은 취득한 농지에 대해서 취득세의 50%를 2024년 12월 31일까지 경감합니다.

지방세특례제한법 제2장 제1절 제6조(자경농민의 농지 등에 대한 감면)

① 대통령령으로 정하는 바에 따라 농업을 주업으로 하는 사람으로서 2년 이상 영농에 종사한 사람 또는 「후계농어업인 및 청년농어업인 육성ㆍ지원에 관한 법률」 제8조에 따른 후계농업경영인 및 청년창업형 후계농업경영인(이하 이 조에서 “자경농민”이라 한다)이 대통령령으로 정하는 기준에 따라 직접 경작할 목적으로 취득하는 대통령령으로 정하는 농지(이하 이 절에서 “농지”라 한다) 및 관계 법령에 따라 농지를 조성하기 위하여 취득하는 임야에 대해서는 취득세의 100분의 50을 2026년 12월 31일까지 경감한다. 다만, 다음 각 호의 어느 하나에 해당하는 경우 그 해당 부분에 대해서는 경감된 취득세를 추징한다. <개정 2010. 12. 27., 2011. 12. 31., 2015. 12. 29., 2016. 12. 27., 2017. 12. 26., 2020. 5. 19., 2020. 12. 29., 2021. 12. 28., 2023. 12. 29.>

1. 정당한 사유 없이 그 취득일부터 2년이 경과할 때까지 자경농민으로서 농지를 직접 경작하지 아니하거나 농지조성을 시작하지 아니하는 경우

2. 직접 경작한 기간이 2년 미만인 상태에서 매각ㆍ증여하거나 다른 용도로 사용하는 경우

② 자경농민이 다음 각 호의 어느 하나에 해당하는 시설로서 대통령령으로 정하는 기준에 적합한 시설을 농업용으로 직접 사용하기 위하여 취득하는 경우 해당 농업용 시설에 대해서는 취득세의 100분의 50을 2026년 12월 31일까지 경감한다. <개정 2014. 12. 31., 2017. 12. 26., 2018. 12. 24., 2020. 12. 29., 2023. 12. 29.>

1. 양잠(養蠶) 또는 버섯재배용 건축물, 고정식 온실

2. 「축산법」 제2조제1호에 따른 가축을 사육하기 위한 시설 및 그 부속시설로서 대통령령으로 정하는 시설

3. 창고[저온창고, 상온창고(常溫倉庫) 및 농기계보관용 창고만 해당한다] 및 농산물 선별처리시설

③ 자경농민이 경작할 목적으로 받는 도로점용, 하천점용 및 공유수면점용의 면허에 대해서는 등록면허세를 2021년 12월 31일까지 면제한다. <개정 2015. 12. 29., 2017. 12. 26., 2018. 12. 24.>

④ 대통령령으로 정하는 바에 따라 「농업ㆍ농촌 및 식품산업 기본법」 제3조제5호에 따른 농촌 지역으로 이주하는 귀농인(이하 이 항에서 “귀농인”이라 한다)이 대통령령으로 정하는 기준에 따라 직접 경작 또는 직접 사용할 목적으로 대통령령으로 정하는 귀농일(이하 이 항에서 “귀농일”이라 한다)부터 3년 이내에 취득하는 농지, 「농지법」 등 관계 법령에 따라 농지를 조성하기 위하여 취득하는 임야 및 제2항에 따른 농업용 시설(농지, 임야 및 농업용 시설을 취득한 사람이 그 취득일부터 60일 이내에 귀농인이 되는 경우 그 농지, 임야 및 농업용 시설을 포함한다)에 대해서는 취득세의 100분의 50을 2024년 12월 31일까지 경감한다. 다만, 귀농인이 다음 각 호의 어느 하나에 해당하는 경우에는 경감된 취득세를 추징하되, 제3호 및 제4호의 경우에는 그 해당 부분에 한정하여 경감된 취득세를 추징한다. <신설 2010. 12. 27., 2011. 12. 31., 2014. 12. 31., 2015. 6. 22., 2016. 12. 27., 2018. 12. 24., 2020. 12. 29., 2021. 12. 28., 2023. 12. 29.>

1. 정당한 사유 없이 귀농일부터 3년 이내에 주민등록 주소지를 취득 농지 및 임야 소재지 특별자치시ㆍ특별자치도ㆍ시ㆍ군ㆍ구(구의 경우에는 자치구를 말한다. 이하 같다), 그 지역과 연접한 시ㆍ군ㆍ구 또는 농지 및 임야 소재지로부터 30킬로미터 이내의 지역 외의 지역으로 이전하는 경우

2. 정당한 사유 없이 귀농일부터 3년 이내에 「농업ㆍ농촌 및 식품산업 기본법」 제3조제1호에 따른 농업(이하 이 항에서 “농업”이라 한다) 외의 산업에 종사하는 경우. 다만, 「농업ㆍ농촌 및 식품산업 기본법」 제3조제8호에 따른 식품산업과 농업을 겸업하는 경우는 제외한다.

3. 정당한 사유 없이 다음 각 목의 어느 하나에 해당하는 경우

가. 농지의 취득일부터 2년 이내에 직접 경작하지 아니하는 경우

나. 임야의 취득일부터 2년 이내에 농지의 조성을 시작하지 아니하는 경우

다. 농업용 시설의 취득일부터 1년 이내에 해당 용도로 직접 사용하지 아니하는 경우

4. 직접 경작 또는 직접 사용한 기간이 3년 미만인 상태에서 매각ㆍ증여하거나 다른 용도로 사용하는 경우"
(청년농업인 스마트팜 종합자금) 청년농업인을 위한 스마트팜 자금 대출 사업이 있나요?,"생애 최초 스마트팜 설치를 희망하는 만 40세 미만의 청년농업인(개인)으로, 농업계 고등학교 또는 대학의 관련학과를 

졸업하거나 스마트팜 청년창업 보육센터 교육 이수자를 대상으로 

최대 30억원 이내(5년 거치 20년 상화, 고정금리 1.5%)에서 지원해주는 사업입니다."
(귀농귀촌 정책지원) 사업 신청은 어떻게 해야 하나요?,"사업신청을 하기 전에 행정기관(시·군 담당부서 또는 농업기술센터)과 농협(농협중앙회 또는 지역농협)을 방문하여 사업신청 및 대출과 관련된 상담을 받아야 합니다.

이 때 상담을 받으러 갈 때는 어느 정도 구체화된 사업계획서를 가지고 가야 실질적인 도움을 받을 수 있습니다."
(청년농부 사관학교) 청년농부 사관학교 교육과정은 어떻게 이루어져 있나요?,"교육시간은 총 6개월 과정으로 진행됩니다. 

'24년도 사업 기준 총 704시간(22주 과정)이며,
실습교육 : 기초교육+비즈플랜(농가현장)+현장인턴 = 560h(79%)

이론교육 : 기초교육 + 비즈플랜(센터교육) = 144h(21%)
로 구성되어 있습니다. 

구체적인 교육일정은 탄탄창업가이드>청년농부사관학교 첨부파일을 참조해주시기 바랍니다. 
"
(청년 농촌보금자리조성) 해당 지원사업 입주자 선발 기준은 어떻게 되나요?,"○ 입주 대상자 중 다음의 우선순위에 따라 선발할 것을 권고 

① 만 40세 미만 귀농인(농촌 외 지역에서 농촌으로 이주, 자녀양육가구 우선)

② 만 40세 미만 귀농인(관외 출신, 농촌 지역에서 거주하던 비농업 종사자가 영농에 종사하게 된 경우) 

③ 만 40세미만 귀촌인* 

④ 관내 청년층

⑤ 만 40세 미만이면서 자녀를 1명이상 양육중인 가정 

⑥ 만 50세 미만 귀농ㆍ귀촌인 

* 회사, 공공기관, 학교 등에서 근무하는 사람의 지사근무, 순환보직 등 해당지역 일시적 거주를 위한 귀촌(동→읍ㆍ면)인은 선발 지양 



- 가구 구성원수별 가구당 월평균 소득 및 자산기준 등을 고려하여 우선순위 부여 

* 전년도 도시근로자 가구원수 별 가구당 월평균소득의 100% 이하, 무주택자, 총자산가액이 통계청이 발표하는 가계금융복지조사에 따른 소득 3분위 순자산평균값 이하(’23년 : 약 3억4천만원), 자동차 가액 5,000만원 이하"
(청년농업인 영농정착지원) 아버지(혹은 가족) 밑에서 함께 농업을 했습니다. 경영주로 인정이 되나요?,경영주인 아버지 혹은 가족 밑에서 농업인으로 일을 했더라도 본인이 경영주가 아니기 때문에 인정이 되지 않습니다. 본인 명의로 농업경영체 경영주 등록을 해야 합니다.
2023년 농약 판매관리인 교육 주요 질의 사항,"1. 2023년 농약 판매관리인 교육은 어떻게 진행되나요?

→ 2023년 농약 판매관리인 교육은 집합교육과 온라인 교육을 병행하여 진행됩니다. 집합교육과 온라인 교육을 모두 이수하셔야 수료증을 발급받으실 수 있습니다.

2. 집합교육과 온라인 교육 중 한 가지만 수료하면 안되나요?

→ 두 가지 교육 중 한 가지만 수료하시면 미수료로 처리됩니다. 반드시 두 가지 교육을 모두 이수하셔야 합니다.
   
3. 교육 시간은 어떻게 되나요?

→ 2023년 농약 판매관리인 교육은 권역별로 오전과 오후 교육으로 나누어 진행합니다. 오전 교육(10:00∼12:30)은 농협, 오후 교육(14:00∼16:30)은 시판상 판매관리인분들을 대상으로 진행합니다. 다만, 부득이한 사유로 해당 시간에 교육 참석이 어려우신 경우 타 시간대에 교육을 신청하셔도 교육을 이수하실 수 있습니다.
   
4. 타 지역에서 열리는 교육을 신청해도 상관없나요?

→ 본인 지역의 교육을 이수하실 수 없는 경우, 타 지역의 교육을 신청하셔도 교육을 이수하실 수 있습니다. 다만, 반드시 교육을 신청하신 해당 지역에서 교육을 이수하셔야 합니다.
   
5. 교육 신청기간은 어떻게 되나요?

→ 집합교육: 2023. 3. 20.(월) ∼ 2023. 4. 25.(화), 권역별 12개소

    온라인 교육: 2023. 4. 3.(월) ∼ 2023. 10. 29.(일), 24기수

 * 집합 교육 사전신청은 3. 14.(화)부터 가능

 * 온라인 교육 사전신청은 기수별로 교육시작일 전주(前週) 목요일부터 신청 가능

    예시) 4.3.∼4.9. 1기 수강신청은 3.30(목)부터 농약안전정보시스템을 통해 신청 가능"
농약 판매관리인 자격 요건이 어떻게 되나요?,"□ 농약관리법 시행규칙 별표1

    ○ 판매관리인 자격 요건은 다음과 같습니다.

        1.  행정기관 또는 국?공립 시험?연구?지도?검사기관에서 농약등 또는 병해충 방제분야 업무에 3년 이상 종사한 경력이 있는 자 

        2. 「국가기술자격법 시행규칙」 에 따른 농화학기술사, 식물보호산업기사 이상(종전의 「국가기술자격법 시행규칙」 에 따른 농화학기능사, 농예화학기능사 또는 농약기능사 각 2급 이상과 농화학기사 이상, 식물보호기능사를 포함한다)의 자격을 소지한 자

        3.   제조업·원제업·수입업 또는 판매업에 3년 이상 종사한 자 또는 「농업협동조합」에 따른 농업협동조합중앙회 및 그 회원조합에서 농약등 관련 업무에 3년 이상 종사한 자로 다음 어느 하나에 해당하는 자

            * 매년 근로소득원천징수 영수증이 있는 자

            * 인사기록카드에 농약등 관련 업무 실적이 있는 자 (농업협동조합중앙회 및 그 회원조합만 해당한다)

            * 사업소득세 납부 증명이 있는 자 "
"대표자, 판매관리인이 개명하여 교육을 받았는데 이수처리는 어떻게 되나요?","○ 농약 판매업의 대표자 또는 판매관리인이 개명을 하면 변경사항에 따라 관할 시·군·구청 담당 부서 담당자에게 변경신청을 하여야 합니다.

   변경신청으로 변경이 완료되면 현재 개명된 이름으로 수료가 가능합니다."
교육수료증에 사업장주소 오류는 어떻게 변경해야 하나요?,"○ 수료증 상에 나타난 사업장주소 오류는 농약판매업 등록 시 시스템에 기재된 주소로, 변경을 원할 경우 그 소재지를 관할하는 시·군·구청 농약 담당자에게 사업장 주소지 변경 요청을 하여야 합니다."
